"level0","Access to telecommunication systems(1) ","count"
"Hauraki-Waikato","No Access to Telecommunication Systems",3042
"Ikaroa-Rāwhiti","No Access to Telecommunication Systems",2946
"Tāmaki Makaurau","No Access to Telecommunication Systems",2466
"Te Tai Hauāuru","No Access to Telecommunication Systems",2742
"Te Tai Tokerau","No Access to Telecommunication Systems",2646
"Te Tai Tonga","No Access to Telecommunication Systems",2142
"Waiariki","No Access to Telecommunication Systems",2967
"Area Outside Māori Electorate","No Access to Telecommunication Systems",NA
"Hauraki-Waikato","Access to a Cellphone/Mobile Phone",77214
"Ikaroa-Rāwhiti","Access to a Cellphone/Mobile Phone",67056
"Tāmaki Makaurau","Access to a Cellphone/Mobile Phone",71814
"Te Tai Hauāuru","Access to a Cellphone/Mobile Phone",79200
"Te Tai Tokerau","Access to a Cellphone/Mobile Phone",78165
"Te Tai Tonga","Access to a Cellphone/Mobile Phone",101262
"Waiariki","Access to a Cellphone/Mobile Phone",66678
"Area Outside Māori Electorate","Access to a Cellphone/Mobile Phone",NA
"Hauraki-Waikato","Access to a Telephone",62493
"Ikaroa-Rāwhiti","Access to a Telephone",57720
"Tāmaki Makaurau","Access to a Telephone",61776
"Te Tai Hauāuru","Access to a Telephone",67164
"Te Tai Tokerau","Access to a Telephone",68424
"Te Tai Tonga","Access to a Telephone",90357
"Waiariki","Access to a Telephone",55257
"Area Outside Māori Electorate","Access to a Telephone",NA
"Hauraki-Waikato","Access to a Fax Machine",8646
"Ikaroa-Rāwhiti","Access to a Fax Machine",6717
"Tāmaki Makaurau","Access to a Fax Machine",7608
"Te Tai Hauāuru","Access to a Fax Machine",7899
"Te Tai Tokerau","Access to a Fax Machine",10449
"Te Tai Tonga","Access to a Fax Machine",12642
"Waiariki","Access to a Fax Machine",7284
"Area Outside Māori Electorate","Access to a Fax Machine",NA
"Hauraki-Waikato","Access to the Internet",59691
"Ikaroa-Rāwhiti","Access to the Internet",51495
"Tāmaki Makaurau","Access to the Internet",60243
"Te Tai Hauāuru","Access to the Internet",61773
"Te Tai Tokerau","Access to the Internet",64458
"Te Tai Tonga","Access to the Internet",90615
"Waiariki","Access to the Internet",49929
"Area Outside Māori Electorate","Access to the Internet",NA
"Hauraki-Waikato","Not Elsewhere Included(4)",2169
"Ikaroa-Rāwhiti","Not Elsewhere Included(4)",1677
"Tāmaki Makaurau","Not Elsewhere Included(4)",2082
"Te Tai Hauāuru","Not Elsewhere Included(4)",1773
"Te Tai Tokerau","Not Elsewhere Included(4)",1965
"Te Tai Tonga","Not Elsewhere Included(4)",1893
"Waiariki","Not Elsewhere Included(4)",1863
"Area Outside Māori Electorate","Not Elsewhere Included(4)",NA
