"level0","Household composition","count"
"Hauraki-Waikato","One-family household (with or without other people)",71559
"Ikaroa-Rāwhiti","One-family household (with or without other people)",65022
"Tāmaki Makaurau","One-family household (with or without other people)",61002
"Te Tai Hauāuru","One-family household (with or without other people)",75036
"Te Tai Tokerau","One-family household (with or without other people)",74052
"Te Tai Tonga","One-family household (with or without other people)",93045
"Waiariki","One-family household (with or without other people)",63906
"Area Outside Māori Electorate","One-family household (with or without other people)",NA
"Hauraki-Waikato","Two-family household (with or without other people)",9846
"Ikaroa-Rāwhiti","Two-family household (with or without other people)",7698
"Tāmaki Makaurau","Two-family household (with or without other people)",12747
"Te Tai Hauāuru","Two-family household (with or without other people)",7494
"Te Tai Tokerau","Two-family household (with or without other people)",8925
"Te Tai Tonga","Two-family household (with or without other people)",7422
"Waiariki","Two-family household (with or without other people)",8178
"Area Outside Māori Electorate","Two-family household (with or without other people)",NA
"Hauraki-Waikato","Three or more family household (with or without other people)",1236
"Ikaroa-Rāwhiti","Three or more family household (with or without other people)",813
"Tāmaki Makaurau","Three or more family household (with or without other people)",2304
"Te Tai Hauāuru","Three or more family household (with or without other people)",753
"Te Tai Tokerau","Three or more family household (with or without other people)",1128
"Te Tai Tonga","Three or more family household (with or without other people)",573
"Waiariki","Three or more family household (with or without other people)",657
"Area Outside Māori Electorate","Three or more family household (with or without other people)",NA
"Hauraki-Waikato","Other multi-person household",3576
"Ikaroa-Rāwhiti","Other multi-person household",2631
"Tāmaki Makaurau","Other multi-person household",4542
"Te Tai Hauāuru","Other multi-person household",3399
"Te Tai Tokerau","Other multi-person household",3126
"Te Tai Tonga","Other multi-person household",7182
"Waiariki","Other multi-person household",2691
"Area Outside Māori Electorate","Other multi-person household",NA
"Hauraki-Waikato","One-person household",4263
"Ikaroa-Rāwhiti","One-person household",4899
"Tāmaki Makaurau","One-person household",4161
"Te Tai Hauāuru","One-person household",5931
"Te Tai Tokerau","One-person household",4959
"Te Tai Tonga","One-person household",7266
"Waiariki","One-person household",4668
"Area Outside Māori Electorate","One-person household",NA
"Hauraki-Waikato","Household composition unidentifiable",45
"Ikaroa-Rāwhiti","Household composition unidentifiable",51
"Tāmaki Makaurau","Household composition unidentifiable",54
"Te Tai Hauāuru","Household composition unidentifiable",54
"Te Tai Tokerau","Household composition unidentifiable",51
"Te Tai Tonga","Household composition unidentifiable",39
"Waiariki","Household composition unidentifiable",48
"Area Outside Māori Electorate","Household composition unidentifiable",NA
