"level0","Partnership status in current relationship(1)","count"
"Hauraki-Waikato","Spouse(2)",16665
"Ikaroa-Rāwhiti","Spouse(2)",14745
"Tāmaki Makaurau","Spouse(2)",14091
"Te Tai Hauāuru","Spouse(2)",17241
"Te Tai Tokerau","Spouse(2)",18927
"Te Tai Tonga","Spouse(2)",23808
"Waiariki","Spouse(2)",15327
"Area Outside Māori Electorate","Spouse(2)",NA
"Hauraki-Waikato","De facto partner(3)",11118
"Ikaroa-Rāwhiti","De facto partner(3)",10101
"Tāmaki Makaurau","De facto partner(3)",10458
"Te Tai Hauāuru","De facto partner(3)",12156
"Te Tai Tokerau","De facto partner(3)",11073
"Te Tai Tonga","De facto partner(3)",16371
"Waiariki","De facto partner(3)",10278
"Area Outside Māori Electorate","De facto partner(3)",NA
"Hauraki-Waikato","Partnered, nfd (4)",1071
"Ikaroa-Rāwhiti","Partnered, nfd (4)",1098
"Tāmaki Makaurau","Partnered, nfd (4)",906
"Te Tai Hauāuru","Partnered, nfd (4)",1215
"Te Tai Tokerau","Partnered, nfd (4)",1050
"Te Tai Tonga","Partnered, nfd (4)",1218
"Waiariki","Partnered, nfd (4)",1182
"Area Outside Māori Electorate","Partnered, nfd (4)",NA
"Hauraki-Waikato","Non-partnered, separated (marriage or civil union)(5)",2115
"Ikaroa-Rāwhiti","Non-partnered, separated (marriage or civil union)(5)",1923
"Tāmaki Makaurau","Non-partnered, separated (marriage or civil union)(5)",1998
"Te Tai Hauāuru","Non-partnered, separated (marriage or civil union)(5)",2082
"Te Tai Tokerau","Non-partnered, separated (marriage or civil union)(5)",2211
"Te Tai Tonga","Non-partnered, separated (marriage or civil union)(5)",2379
"Waiariki","Non-partnered, separated (marriage or civil union)(5)",1911
"Area Outside Māori Electorate","Non-partnered, separated (marriage or civil union)(5)",NA
"Hauraki-Waikato","Non-partnered, divorced or dissolved (marriage or civil union)",2418
"Ikaroa-Rāwhiti","Non-partnered, divorced or dissolved (marriage or civil union)",2322
"Tāmaki Makaurau","Non-partnered, divorced or dissolved (marriage or civil union)",2640
"Te Tai Hauāuru","Non-partnered, divorced or dissolved (marriage or civil union)",2619
"Te Tai Tokerau","Non-partnered, divorced or dissolved (marriage or civil union)",2721
"Te Tai Tonga","Non-partnered, divorced or dissolved (marriage or civil union)",3381
"Waiariki","Non-partnered, divorced or dissolved (marriage or civil union)",2181
"Area Outside Māori Electorate","Non-partnered, divorced or dissolved (marriage or civil union)",NA
"Hauraki-Waikato","Non-partnered, widowed or surviving civil union partner",1773
"Ikaroa-Rāwhiti","Non-partnered, widowed or surviving civil union partner",2094
"Tāmaki Makaurau","Non-partnered, widowed or surviving civil union partner",1566
"Te Tai Hauāuru","Non-partnered, widowed or surviving civil union partner",2127
"Te Tai Tokerau","Non-partnered, widowed or surviving civil union partner",2247
"Te Tai Tonga","Non-partnered, widowed or surviving civil union partner",1767
"Waiariki","Non-partnered, widowed or surviving civil union partner",2148
"Area Outside Māori Electorate","Non-partnered, widowed or surviving civil union partner",NA
"Hauraki-Waikato","Non-partnered, never married and never in a civil union",21627
"Ikaroa-Rāwhiti","Non-partnered, never married and never in a civil union",19026
"Tāmaki Makaurau","Non-partnered, never married and never in a civil union",24369
"Te Tai Hauāuru","Non-partnered, never married and never in a civil union",21762
"Te Tai Tokerau","Non-partnered, never married and never in a civil union",21180
"Te Tai Tonga","Non-partnered, never married and never in a civil union",29361
"Waiariki","Non-partnered, never married and never in a civil union",17712
"Area Outside Māori Electorate","Non-partnered, never married and never in a civil union",NA
"Hauraki-Waikato","Non-partnered, nfd",3276
"Ikaroa-Rāwhiti","Non-partnered, nfd",3252
"Tāmaki Makaurau","Non-partnered, nfd",2961
"Te Tai Hauāuru","Non-partnered, nfd",3348
"Te Tai Tokerau","Non-partnered, nfd",2949
"Te Tai Tonga","Non-partnered, nfd",3093
"Waiariki","Non-partnered, nfd",3072
"Area Outside Māori Electorate","Non-partnered, nfd",NA
"Hauraki-Waikato","Not stated",2058
"Ikaroa-Rāwhiti","Not stated",1941
"Tāmaki Makaurau","Not stated",2052
"Te Tai Hauāuru","Not stated",1914
"Te Tai Tokerau","Not stated",1932
"Te Tai Tonga","Not stated",1938
"Waiariki","Not stated",1980
"Area Outside Māori Electorate","Not stated",NA
