"level0","Tenure of household","count"
"Hauraki-Waikato","Dwelling owned or partly owned, mortgage payments made",23046
"Ikaroa-Rāwhiti","Dwelling owned or partly owned, mortgage payments made",22971
"Tāmaki Makaurau","Dwelling owned or partly owned, mortgage payments made",19917
"Te Tai Hauāuru","Dwelling owned or partly owned, mortgage payments made",27300
"Te Tai Tokerau","Dwelling owned or partly owned, mortgage payments made",25680
"Te Tai Tonga","Dwelling owned or partly owned, mortgage payments made",36339
"Waiariki","Dwelling owned or partly owned, mortgage payments made",20094
"Area Outside Māori Electorate","Dwelling owned or partly owned, mortgage payments made",NA
"Hauraki-Waikato","Dwelling owned or partly owned, mortgage payments not made",6498
"Ikaroa-Rāwhiti","Dwelling owned or partly owned, mortgage payments not made",7068
"Tāmaki Makaurau","Dwelling owned or partly owned, mortgage payments not made",5712
"Te Tai Hauāuru","Dwelling owned or partly owned, mortgage payments not made",8187
"Te Tai Tokerau","Dwelling owned or partly owned, mortgage payments not made",8646
"Te Tai Tonga","Dwelling owned or partly owned, mortgage payments not made",10518
"Waiariki","Dwelling owned or partly owned, mortgage payments not made",8514
"Area Outside Māori Electorate","Dwelling owned or partly owned, mortgage payments not made",NA
"Hauraki-Waikato","Dwelling owned or partly owned, mortgage arrangements not further defined",777
"Ikaroa-Rāwhiti","Dwelling owned or partly owned, mortgage arrangements not further defined",663
"Tāmaki Makaurau","Dwelling owned or partly owned, mortgage arrangements not further defined",585
"Te Tai Hauāuru","Dwelling owned or partly owned, mortgage arrangements not further defined",762
"Te Tai Tokerau","Dwelling owned or partly owned, mortgage arrangements not further defined",849
"Te Tai Tonga","Dwelling owned or partly owned, mortgage arrangements not further defined",867
"Waiariki","Dwelling owned or partly owned, mortgage arrangements not further defined",903
"Area Outside Māori Electorate","Dwelling owned or partly owned, mortgage arrangements not further defined",NA
"Hauraki-Waikato","Dwelling not owned and not held in a family trust, rent payments made",48222
"Ikaroa-Rāwhiti","Dwelling not owned and not held in a family trust, rent payments made",39492
"Tāmaki Makaurau","Dwelling not owned and not held in a family trust, rent payments made",46578
"Te Tai Hauāuru","Dwelling not owned and not held in a family trust, rent payments made",43722
"Te Tai Tokerau","Dwelling not owned and not held in a family trust, rent payments made",42132
"Te Tai Tonga","Dwelling not owned and not held in a family trust, rent payments made",52143
"Waiariki","Dwelling not owned and not held in a family trust, rent payments made",37782
"Area Outside Māori Electorate","Dwelling not owned and not held in a family trust, rent payments made",NA
"Hauraki-Waikato","Dwelling not owned and not held in a family trust, rent payments not made",2385
"Ikaroa-Rāwhiti","Dwelling not owned and not held in a family trust, rent payments not made",2871
"Tāmaki Makaurau","Dwelling not owned and not held in a family trust, rent payments not made",1476
"Te Tai Hauāuru","Dwelling not owned and not held in a family trust, rent payments not made",3477
"Te Tai Tokerau","Dwelling not owned and not held in a family trust, rent payments not made",2940
"Te Tai Tonga","Dwelling not owned and not held in a family trust, rent payments not made",2748
"Waiariki","Dwelling not owned and not held in a family trust, rent payments not made",3234
"Area Outside Māori Electorate","Dwelling not owned and not held in a family trust, rent payments not made",NA
"Hauraki-Waikato","Dwelling not owned and not held in a family trust, rental arrangements not further defined",291
"Ikaroa-Rāwhiti","Dwelling not owned and not held in a family trust, rental arrangements not further defined",288
"Tāmaki Makaurau","Dwelling not owned and not held in a family trust, rental arrangements not further defined",228
"Te Tai Hauāuru","Dwelling not owned and not held in a family trust, rental arrangements not further defined",366
"Te Tai Tokerau","Dwelling not owned and not held in a family trust, rental arrangements not further defined",315
"Te Tai Tonga","Dwelling not owned and not held in a family trust, rental arrangements not further defined",231
"Waiariki","Dwelling not owned and not held in a family trust, rental arrangements not further defined",324
"Area Outside Māori Electorate","Dwelling not owned and not held in a family trust, rental arrangements not further defined",NA
"Hauraki-Waikato","Dwelling held in a family trust, mortgage payments made",4263
"Ikaroa-Rāwhiti","Dwelling held in a family trust, mortgage payments made",3147
"Tāmaki Makaurau","Dwelling held in a family trust, mortgage payments made",4998
"Te Tai Hauāuru","Dwelling held in a family trust, mortgage payments made",3873
"Te Tai Tokerau","Dwelling held in a family trust, mortgage payments made",5451
"Te Tai Tonga","Dwelling held in a family trust, mortgage payments made",6021
"Waiariki","Dwelling held in a family trust, mortgage payments made",3609
"Area Outside Māori Electorate","Dwelling held in a family trust, mortgage payments made",NA
"Hauraki-Waikato","Dwelling held in a family trust, mortgage payments not made",2094
"Ikaroa-Rāwhiti","Dwelling held in a family trust, mortgage payments not made",1917
"Tāmaki Makaurau","Dwelling held in a family trust, mortgage payments not made",2382
"Te Tai Hauāuru","Dwelling held in a family trust, mortgage payments not made",2256
"Te Tai Tokerau","Dwelling held in a family trust, mortgage payments not made",3135
"Te Tai Tonga","Dwelling held in a family trust, mortgage payments not made",3621
"Waiariki","Dwelling held in a family trust, mortgage payments not made",2817
"Area Outside Māori Electorate","Dwelling held in a family trust, mortgage payments not made",NA
"Hauraki-Waikato","Dwelling held in a family trust, mortgage arrangements not further defined",408
"Ikaroa-Rāwhiti","Dwelling held in a family trust, mortgage arrangements not further defined",357
"Tāmaki Makaurau","Dwelling held in a family trust, mortgage arrangements not further defined",390
"Te Tai Hauāuru","Dwelling held in a family trust, mortgage arrangements not further defined",405
"Te Tai Tokerau","Dwelling held in a family trust, mortgage arrangements not further defined",573
"Te Tai Tonga","Dwelling held in a family trust, mortgage arrangements not further defined",555
"Waiariki","Dwelling held in a family trust, mortgage arrangements not further defined",411
"Area Outside Māori Electorate","Dwelling held in a family trust, mortgage arrangements not further defined",NA
"Hauraki-Waikato","Not elsewhere included(3)",2532
"Ikaroa-Rāwhiti","Not elsewhere included(3)",2334
"Tāmaki Makaurau","Not elsewhere included(3)",2544
"Te Tai Hauāuru","Not elsewhere included(3)",2322
"Te Tai Tokerau","Not elsewhere included(3)",2517
"Te Tai Tonga","Not elsewhere included(3)",2487
"Waiariki","Not elsewhere included(3)",2463
"Area Outside Māori Electorate","Not elsewhere included(3)",NA
