"","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","Party Informals","The Civilian Party","United Future","TOTAL"
"Auckland Central",329,85,10,486,3,2,6242,553,6101,158,12652,1459,7,99,17,53,28256
"Bay of Plenty",90,126,50,2072,33,6,2645,187,4783,207,21096,5100,104,88,10,78,36675
"Botany",808,90,12,1519,5,6,1461,204,7473,71,20016,1825,9,128,8,49,33684
"Christchurch Central",167,165,27,1065,30,1,5419,353,8995,157,15301,2462,3,108,40,79,34372
"Christchurch East",107,186,38,1058,20,1,4113,286,10450,129,12928,3069,11,141,19,74,32630
"Clutha-Southland",122,184,268,1726,36,0,2647,158,5036,113,21694,2135,32,107,10,68,34336
"Coromandel",142,139,112,2004,20,7,3724,259,5960,184,20547,4741,17,117,11,64,38048
"Dunedin North",111,172,60,956,37,1,8035,603,11147,124,11302,2364,7,99,27,86,35131
"Dunedin South",125,171,77,1104,80,7,4626,307,12518,95,15003,3429,5,161,18,63,37789
"East Coast",82,150,122,1438,30,4,3248,413,8022,334,17152,4176,17,148,13,78,35427
"East Coast Bays",580,95,47,2210,17,3,2712,222,4005,125,20895,1964,4,73,20,69,33041
"Epsom",1023,76,7,932,10,4,4706,312,5045,174,23904,1308,3,93,17,61,37675
"Hamilton East",250,110,28,1672,29,5,3833,348,8264,222,17395,2481,3,167,23,104,34934
"Hamilton West",160,171,38,1571,43,7,2765,242,8649,190,16072,3644,13,159,18,87,33829
"Helensville",262,161,48,1692,23,3,4801,338,4430,192,20689,2608,13,73,8,93,35434
"Hunua",313,136,46,1807,19,4,2076,166,4699,144,22929,3437,4,117,14,82,35993
"Hutt South",256,160,58,1391,11,6,4966,281,10903,207,17648,2913,7,199,19,136,39161
"Ilam",349,96,21,1300,14,3,4574,233,6238,171,20377,1806,7,73,23,92,35377
"Invercargill",113,224,173,1256,95,10,2581,210,8553,110,16880,3806,11,153,23,68,34266
"Kaikōura",144,151,187,1709,36,8,3366,169,6269,131,20770,3612,8,122,13,96,36791
"Kelston",308,108,13,910,8,7,3298,432,12934,94,9924,2595,7,179,15,48,30880
"Mana",79,173,21,977,24,3,4691,351,12601,226,14850,2493,5,155,28,116,36793
"Māngere",68,86,10,839,7,3,1084,324,18470,124,4281,2008,5,259,3,26,27597
"Manukau East",179,76,4,553,4,7,971,276,16925,84,5392,2072,4,502,4,18,27071
"Manurewa",158,102,15,776,6,1,1092,315,14579,191,7612,2609,0,197,10,24,27687
"Maungakiekie",512,113,11,1095,8,8,3270,377,12199,187,14394,2283,10,270,14,80,34831
"Mt Albert",356,93,12,719,7,6,8005,603,10823,178,14359,1512,5,176,11,57,36922
"Mt Roskill",610,74,17,1240,10,6,3279,304,12086,132,14275,1805,6,176,8,69,34097
"Napier",103,153,58,2270,27,6,3198,219,9466,160,18005,2709,7,145,16,63,36605
"Nelson",151,202,386,2094,47,6,5381,317,9401,125,16904,2918,11,124,12,95,38174
"New Lynn",542,101,16,1233,33,3,3365,367,12085,119,13136,2403,8,177,17,56,33661
"New Plymouth",172,218,57,1201,28,4,3005,263,7947,199,20969,3395,10,128,19,66,37681
"North Shore",545,103,13,1673,34,2,4118,250,5473,174,23762,2246,4,78,12,98,38585
"Northcote",573,122,17,1522,20,4,4099,336,7803,162,17900,2584,10,117,26,121,35416
"Northland",162,193,51,2243,64,216,3855,601,5913,210,17412,4546,9,154,7,71,35707
"Ōhāriu",250,146,15,1118,22,4,5623,258,8771,215,18810,1781,9,126,29,273,37450
"Ōtaki",111,138,61,1695,19,6,3635,249,9543,169,18854,3827,19,298,12,74,38710
"Pakuranga",1021,109,11,1930,8,4,2192,214,5511,108,20854,2456,8,101,16,78,34621
"Palmerston North",175,123,30,1549,10,7,3390,330,10632,166,14835,2973,10,93,24,80,34427
"Papakura",218,124,23,1431,9,5,1801,275,8967,172,17733,3737,4,186,20,60,34765
"Port Hills",175,120,33,1241,41,4,6812,298,9514,160,18719,2641,1,105,26,80,39970
"Rangitata",165,217,84,1580,24,9,2715,142,8064,94,20108,2848,13,154,20,114,36351
"Rangitīkei",131,151,106,2115,15,7,2709,208,6408,195,18596,3914,12,119,23,75,34784
"Rimutaka",126,194,84,1492,14,4,3154,324,12176,149,15352,3806,19,159,19,122,37194
"Rodney",192,123,29,2661,15,5,3351,231,4847,142,24051,3575,12,91,8,81,39414
"Rongotai",120,131,19,623,9,3,10176,568,11754,237,12606,2097,7,217,21,143,38731
"Rotorua",142,160,101,1361,16,4,2289,272,7181,486,17660,4139,33,122,11,72,34049
"Selwyn",139,120,78,1253,10,5,3910,184,4654,111,22809,2494,5,65,16,87,35940
"Tāmaki",504,106,8,1122,10,13,3232,263,5431,175,24091,1619,12,78,15,69,36748
"Taranaki-King Country",120,163,156,1907,20,8,2422,191,4483,185,20637,3182,9,99,11,85,33678
"Taupō",91,148,223,1729,29,7,2224,190,6752,298,20703,3730,10,121,13,94,36362
"Tauranga",134,110,12,2146,17,3,2645,180,5361,222,20728,5387,96,152,7,94,37294
"Te Atatū",450,122,12,1243,9,0,2684,380,11603,142,13614,2784,12,223,5,52,33335
"Tukituki",144,150,50,2357,18,5,3078,244,8205,185,18680,2731,4,135,12,59,36057
"Upper Harbour",450,129,13,1613,4,4,2329,286,7803,119,18122,2311,7,130,14,69,33403
"Waikato",191,180,89,2053,38,6,2075,178,5303,196,21598,3870,10,127,8,78,36000
"Waimakariri",80,127,69,1560,69,5,3198,141,6835,95,20734,3054,6,114,15,66,36168
"Wairarapa",124,175,142,1622,7,4,3134,164,7712,209,19634,4393,8,116,22,59,37525
"Waitaki",106,208,143,1741,86,5,4386,159,7162,104,22656,2763,10,130,16,94,39769
"Wellington Central",274,127,20,590,26,5,11545,578,9306,300,14689,1399,5,101,49,117,39131
"West Coast-Tasman",94,210,942,1837,25,7,4658,271,8438,102,16058,3123,14,192,11,71,36053
"Whanganui",167,190,56,1771,57,14,2546,259,9012,205,16687,4221,13,112,22,75,35407
"Whangarei",205,183,38,1925,116,34,3611,386,6575,196,18503,4936,15,117,16,93,36949
"Wigram",317,154,41,1102,30,5,3919,231,8764,145,13117,2618,7,136,31,86,30703
"Hauraki-Waikato",43,306,34,159,5,10,2043,1689,9724,2504,1583,2796,1,302,3,14,21216
"Ikaroa-Rāwhiti",24,313,25,130,2,4,2275,2152,10489,2699,1189,2490,11,325,2,6,22136
"Tāmaki Makaurau",39,200,5,128,1,6,2438,2234,8432,2651,1575,2914,4,204,1,16,20848
"Te Tai Hauāuru",27,281,43,116,3,1,2442,1395,8642,3611,1456,2412,15,234,6,15,20699
"Te Tai Tokerau",37,254,19,154,11,45,2275,4247,8033,2301,1938,3296,16,261,5,18,22910
"Te Tai Tonga",35,282,99,153,15,3,3402,1021,7607,2319,2977,2657,8,125,9,18,20730
"Waiariki",17,222,70,78,2,8,1787,2524,8595,4880,1120,2809,41,229,5,11,22398
